,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
100,1551.3,0,1560.55,N,C,1578.9,51,/Date(1695637279000)/,1539.65,1532.85,-20.8999999999999,1560.55,0,1153,0,0,0,49380,GLAXO,GLAXOSMITHKLINE PHARMA LT
101,687.83,183,678.4,N,C,696.9,17,/Date(1695636651000)/,685.05,675.05,6.64999999999998,676.95,0,1168,0,183,0,47681,GMBREW,G M BREWERIES LTD
102,602.68,0,596.6,N,C,608.55,11,/Date(1695637441000)/,603.25,597.45,6.64999999999998,599.9,0,1174,0,0,0,747061,GNFC,GUJ NAR VAL FER & CHEM L
103,2116.11,0,2053.45,N,C,2158,50,/Date(1695637074000)/,2132.5,2041.45,79.0500000000002,2053.55,0,1181,848,0,848,99652,GODFRYPHLP,GODFREY PHILLIPS INDIA LT
104,2970.89,0,2967.3,N,C,2993.9,4,/Date(1695635997000)/,2966.2,2951.35,-1.10000000000036,2981,0,1185,34,0,34,43172,AMBER,AMBER ENTERPRISES (I) LTD
105,1694.91,0,1693.2,N,C,1748,25,/Date(1695637372000)/,1659.8,1643.2,-33.4000000000001,1690,0,1186,1414,0,1414,320246,GLAND,GLAND PHARMA LIMITED
106,360.76,0,356.85,N,C,365.65,5,/Date(1695637085000)/,360.05,356.6,3.19999999999999,356.85,0,1190,100,0,100,58500,FMGOETZE,FEDERAL-MOGUL GOETZE (IND
107,324.24,75,322.45,N,C,326.75,4,/Date(1695636874000)/,325.0,321,2.55000000000001,324.05,0,1196,0,75,0,583420,KANSAINER,KANSAI NEROLAC PAINTS LTD
108,1300.43,0,1297.1,N,C,1307,2,/Date(1695637541000)/,1297.75,1290,0.650000000000091,1301.9,0,1205,1,0,1,5339,GOODYEAR,GOODYEAR INDIA LIMITED
109,1926.11,12,1911.95,N,C,1945.95,9,/Date(1695637621000)/,1939.85,1901.9,27.8999999999999,1911.95,0,1232,0,12,0,759914,GRASIM,GRASIM INDUSTRIES LTD
110,139.87,529,141.4,N,C,142.15,3,/Date(1695637327000)/,139.1,138.5,-2.30000000000001,142,0,1235,0,529,0,593927,GREAVESCOT,GREAVES COTTON LTD.
111,174.56,0,167.7,N,C,177.25,100,/Date(1695637596000)/,175.95,168.25,8.25,168.25,0,1247,2351,0,2351,5535585,GSFC,GUJ STATE FERT & CHEM LTD
112,139.25,804,139.95,N,C,142.1,1,/Date(1695637444000)/,137.9,137.4,-2.04999999999998,140,0,1250,0,804,0,1744462,CASTROLIND,CASTROL INDIA LIMITED
113,699.61,3093,698.05,N,C,709,2,/Date(1695637793000)/,701.75,689,3.70000000000005,700,0,1267,0,3093,0,93884,GUJALKALI,GUJARAT ALKALIES & CHEM
114,2595.11,0,2606.6,N,C,2620.2,67,/Date(1695636000000)/,2604.3,2575.3,-2.29999999999973,2599,0,1315,0,0,0,9547,GALAXYSURF,GALAXY SURFACTANTS LTD
115,1533.28,0,1529.65,N,C,1540.7,1,/Date(1695637800000)/,1531.0,1525,1.34999999999991,1525,0,1333,3680,0,3680,20104377,HDFCBANK,HDFC BANK LTD
116,1724.1,0,1705.45,N,C,1737.95,5,/Date(1695637610000)/,1723.3,1706.05,17.8499999999999,1710,0,1336,16,0,16,94430,HEG,HEG LTD
117,2987.71,101,3022.7,N,C,3022.7,1,/Date(1695637237000)/,2974.7,2968.4,-48,3015.2,0,1348,0,101,0,408884,HEROMOTOCO,HERO MOTOCORP LIMITED
118,471.9,0,478.85,N,C,478.8,10,/Date(1695637770000)/,469.35,467.25,-9.5,478.8,0,1363,4019,0,4019,5768069,HINDALCO,HINDALCO  INDUSTRIES  LTD
119,2476.48,0,2482.45,N,C,2499.7,3,/Date(1695637781000)/,2475.85,2460,-6.59999999999991,2482.45,0,1394,12,0,12,1122778,HINDUNILVR,HINDUSTAN UNILEVER LTD.
120,158.74,0,158.9,N,C,162,100,/Date(1695637745000)/,156.75,156.2,-2.15000000000001,162,0,1403,31,0,31,857197,HINDOILEXP,HINDUSTAN OIL EXPLORATION
121,259.18,0,260.95,N,C,261.85,152,/Date(1695637755000)/,260.35,256.25,-0.599999999999966,260.05,0,1406,3036,0,3036,3396577,HINDPETRO,HINDUSTAN PETROLEUM CORP
122,7112.27,1,7106.65,N,C,7185,40,/Date(1695636000000)/,7101.4,7080,-5.25,7100,0,1442,0,1,0,4819,SANOFI,SANOFI INDIA LIMITED
123,2875.97,0,2888.5,N,C,2910.2,11,/Date(1695635998000)/,2870.5,2855,-18,2890,0,1455,0,0,0,7361,HIL,HIL LIMITED
124,2514.34,0,2520.1,N,C,2567,2,/Date(1695635999000)/,2508.8,2492,-11.2999999999997,2545,0,1467,0,0,0,25860,AKZOINDIA,AKZO NOBEL INDIA LIMITED
125,70.84,10274,71.25,N,C,72.2,500,/Date(1695637746000)/,70.8,70.2,-0.450000000000003,71.85,0,1476,0,10274,0,8507418,IDBI,IDBI BANK LIMITED
126,910.68,0,915.35,N,C,922.95,1,/Date(1695637166000)/,907.65,904,-7.70000000000005,916.95,0,1485,49,0,49,17949,IFBIND,IFB INDUSTRIES LTD
127,22.34,135091,23.05,N,C,23.4,500,/Date(1695637698000)/,22.1,21.8,-0.949999999999999,23.2,0,1491,0,135091,0,72188917,IFCI,IFCI LTD
128,121.53,0,123.55,N,C,124.35,500,/Date(1695637723000)/,121.5,120.6,-2.05,123.55,0,1494,1275,0,1275,2438553,RBA,RESTAURANT BRAND ASIA LTD
